Natlanguage_query,SQL_query
"CO05 Breakout of condition by gender, age","SELECT
  concept_name AS gender,
  age,
  gender_age_freq
FROM 
  (SELECT
    gender_concept_id,
    age,
    COUNT(1) gender_age_freq
   FROM 
    (SELECT
      year_of_birth,
      month_of_birth,
      day_of_birth,
      gender_concept_id,
      condition_start_date,
      YEAR(condition_start_date) - year_of_birth    AS age
     FROM 
      (SELECT
        person_id,
        condition_start_date
       FROM cdm.condition_occurrence
       WHERE condition_concept_id = 31967 -- Input condition_concept_id 
             AND person_id IS NOT NULL
      ) AS from_cond
    LEFT JOIN cdm.person from_person 
      ON from_cond.person_id=from_person.person_id 
  ) AS gender_count
  GROUP BY
    gender_concept_id,
    age
  ) AS gender_id_age_count
LEFT JOIN cdm.concept concept_list 
  ON gender_id_age_count.gender_concept_id=concept_list.concept_id
ORDER BY gender_age_freq DESC;"
CO06 What are a person's comorbidities.,"SELECT DISTINCT
  CASE 
    WHEN concept_name_1>concept_name_2 THEN concept_name_1 
    ELSE concept_name_2 
  END AS condition1,
  CASE 
    WHEN concept_name_1>concept_name_2 THEN concept_name_2 
    ELSE concept_name_1 
  END AS condition2
FROM 
  (SELECT
    concept_name_1  AS concept_name_1,
    concept_name    AS concept_name_2
   FROM 
    (SELECT
      condition_concept_id_2,
      concept_name AS concept_name_1
     FROM 
      (SELECT
        table1.condition_concept_id AS condition_concept_id_1,
        table2.condition_concept_id AS condition_concept_id_2
       FROM
          (SELECT * FROM cdm.condition_era 
           WHERE person_id = 136931019 -- Input person_id
           ) AS table1,
          (SELECT * FROM cdm.condition_era 
           WHERE person_id = 136931019 -- Input person_id
          ) AS table2
      WHERE table2.condition_era_start_date <= table1.condition_era_end_date 
            AND (table2.condition_era_end_date IS NULL OR table2.condition_era_end_date >= table1.condition_era_start_date) 
            AND table1.condition_concept_id<>table2.condition_concept_id
      ) AS comorb
    LEFT JOIN cdm.concept AS concept_list 
    ON comorb.condition_concept_id_1=concept_list.concept_id
    ) AS comorb2
  LEFT JOIN cdm.concept AS concept_list 
  ON comorb2.condition_concept_id_2=concept_list.concept_id
  ) AS condition_pairs;"
CO07 Frequency of hospitalized for a condition,"SELECT
  number_of_hospitalizations,
  count(*)          AS persons_freq
FROM 
  (SELECT
    person_id,
    COUNT(*)        AS number_of_hospitalizations
   FROM 
    (SELECT 
      DISTINCT
        condition_era_id,
        era.person_id
     FROM 
      (SELECT
        condition_start_date,
        condition_end_date,
        from_cond.person_id
       FROM 
        (SELECT
          visit_occurrence_id,
          condition_start_date,
          condition_end_date,
          person_id
         FROM cdm.condition_occurrence
         WHERE condition_concept_id=31967 -- Input condition_concept_id 
               AND visit_occurrence_id IS NOT NULL
        ) AS FROM_cond
       INNER JOIN cdm.visit_occurrence FROM_visit
        ON FROM_cond.visit_occurrence_id=FROM_visit.visit_occurrence_id
       INNER JOIN cdm.care_site cs 
        ON from_visit.care_site_id=cs.care_site_id
       WHERE  place_of_service_concept_id=8717 -- Inpatient hospital
    ) AS occurr,
    (SELECT
        condition_era_id,
        person_id,
        condition_era_start_date,
        condition_era_end_date
     FROM cdm.condition_era
     WHERE condition_concept_id=31967 -- Input condition_concept_id 
    ) AS era
   WHERE era.person_id=occurr.person_id 
         AND era.condition_era_start_date <= occurr.condition_end_date 
         AND (era.condition_era_end_date IS NULL OR era.condition_era_end_date >= occurr.condition_start_date)
   ) AS c
  GROUP BY person_id
  ) AS hospitalizations_freq
GROUP BY number_of_hospitalizations
ORDER BY persons_freq DESC;"
CO08 Duration of hospitalization for a conditions,"SELECT
  avg(hosp_no_days) AS average_hosp_duration_count
FROM
  (SELECT DISTINCT
    hosp_no_days,
    person_id,
    from_visit.visit_occurrence_id
   FROM
    (SELECT
      visit_occurrence_id,
      condition_start_date,
      condition_end_date,
      person_id
     FROM cdm.condition_occurrence
     WHERE condition_concept_id = 31967 -- Input condition_concept_id
           AND visit_occurrence_id IS NOT NULL
    ) AS from_cond
INNER JOIN
  (SELECT
    DATEDIFF(DAY, visit_start_date, visit_end_date) + 1 AS hosp_no_days,
    visit_start_date,
    visit_occurrence_id,
    place_of_service_concept_id
   FROM cdm.visit_occurrence v
   INNER JOIN cdm.care_site c
   ON v.care_site_id=c.care_site_id
   WHERE place_of_service_concept_id = 8717 -- Inpatient hospital
  ) AS from_visit
ON from_cond.visit_occurrence_id = from_visit.visit_occurrence_id
 ) AS hosp_duration_count
;"
"CO09 Is a condition seasonal, alergies for example","SELECT season, 
       COUNT(*) AS season_freq
FROM 
  (SELECT 
    CASE
      WHEN daymonth>0320 AND daymonth<=0621 THEN 'Spring' 
      WHEN daymonth>0621 AND daymonth<=0922 THEN 'Summer' 
      WHEN daymonth>0922 AND daymonth<=1221 THEN 'Fall' 
      WHEN daymonth>1221 OR (daymonth>0000 AND daymonth<=0520) THEN 'Winter'
      ELSE 'Unknown'
    END                   AS season
    FROM 
       (SELECT 
        
          CAST(CONCAT(CAST(DAY(condition_start_date) AS VARCHAR), CAST(MONTH(condition_start_date) AS VARCHAR)) AS int) AS daymonth,
          condition_start_date
        FROM cdm.condition_occurrence
        WHERE condition_concept_id = 31967 -- Input condition_concept_id
       ) AS condition_dates
  ) AS condition_season
GROUP BY season
ORDER BY season_freq;"
CO10 Counts of condition records,"SELECT
  COUNT(*) AS condition_occurrence_count
FROM cdm.condition_occurrence
WHERE condition_concept_id = 31967;"
CO11 Counts of persons with conditions,"SELECT
  COUNT(DISTINCT person_id) AS persons_with_condition_count
FROM cdm.condition_occurrence
WHERE condition_concept_id = 31967
      AND person_id IS NOT NULL;"
CO12 Distribution of condition end dates.,"WITH end_rank AS 
  (SELECT
    condition_end_date,
    SUM(1) over (partition BY 1 ORDER BY condition_end_date ASC ROWS BETWEEN unbounded preceding AND CURRENT row) AS rownumASc
  FROM cdm.condition_occurrence
  ),
    other_stat AS 
  (SELECT
    COUNT(condition_end_date)                                                                                   AS condition_end_date_count,
    MIN(condition_end_date)                                                                                     AS condition_end_date_min,
    MAX(condition_end_date)                                                                                     AS condition_end_date_max,
    DATEADD(day, AVG(CAST(DATEDIFF(DAY,CONVERT(date,'00010101'), condition_end_date) AS BIGINT)), CONVERT(date,'00010101')) AS condition_end_date_average,
    STDEV(DATEDIFF(d,CONVERT(date,'00010101'), condition_end_date))                                           AS condition_end_date_stddev
   FROM cdm.condition_occurrence
   WHERE condition_end_date IS NOT NULL
  )
SELECT
  (SELECT 
    COUNT(condition_end_date) 
   FROM cdm.condition_occurrence 
   WHERE condition_end_date IS NULL
  ) AS condition_end_date_null_count,
  condition_end_date_count,condition_end_date_min,condition_end_date_max,condition_end_date_average,condition_end_date_stddev,
  condition_end_date_25pctile,condition_end_date_median,condition_end_date_75pctile

FROM other_stat,
    (SELECT DATEADD(day,AVG(CAST(DATEDIFF(DAY, CONVERT(date, '00010101'), condition_end_date) AS BIGINT)),CONVERT(date, '00010101'))  AS condition_end_date_25pctile
      FROM (
       SELECT condition_end_date, rownumAsc,(SELECT COUNT(*) FROM end_rank ) AS rowno 
         FROM end_rank 
           ) a_1
       WHERE ( rownumASc = CAST(rowno*0.25 AS int)   AND floor(rowno*25/100)  = rowno*25/100 ) 
          OR ( rownumASc = CAST(rowno*0.25 AS int)   AND floor(rowno*25/100) != rowno*25/100 )
          OR ( rownumASc = CAST(rowno*0.25 AS int)+1 AND floor(rowno*25/100) != rowno*25/100 )
     ) condition_end_date_25pctile,
    (SELECT DATEADD(day,AVG(CAST(DATEDIFF(DAY, CONVERT(date, '00010101'), condition_end_date) AS BIGINT)),CONVERT(date, '00010101'))  AS condition_end_date_median
      FROM (
       SELECT condition_end_date, rownumAsc,(SELECT COUNT(*) FROM end_rank ) AS rowno 
         FROM end_rank 
          ) a_1
       WHERE ( rownumASc = CAST(rowno*0.5 AS int)   AND floor(rowno*50/100)  = rowno*50/100 ) 
          OR ( rownumASc = CAST(rowno*0.5 AS int)   AND floor(rowno*50/100) != rowno*50/100 )
          OR ( rownumASc = CAST(rowno*0.5 AS int)+1 AND floor(rowno*50/100) != rowno*50/100 )
     ) condition_end_date_median,
    (SELECT DATEADD(day,AVG(CAST(DATEDIFF(DAY, CONVERT(date, '00010101'), condition_end_date) AS BIGINT)),CONVERT(date, '00010101'))AS condition_end_date_75pctile
      FROM (
       SELECT condition_end_date, rownumAsc,(SELECT COUNT(*) FROM end_rank ) AS rowno 
         FROM end_rank 
         ) a_1
       WHERE ( rownumASc = CAST(rowno*0.75 AS int)   AND floor(rowno*75/100)  = rowno*75/100 ) 
          OR ( rownumASc = CAST(rowno*0.75 AS int)   AND floor(rowno*75/100) != rowno*75/100 )
          OR ( rownumASc = CAST(rowno*0.75 AS int)+1 AND floor(rowno*75/100) != rowno*75/100 )
     ) condition_end_date_75pctile
;"
CO13 Distribution of condition start dates,"WITH end_rank AS 
  (SELECT
    condition_start_date,
    SUM(1) over (partition BY 1 ORDER BY condition_start_date ASC ROWS BETWEEN unbounded preceding AND CURRENT row) AS rownumASc
  FROM cdm.condition_occurrence
  ),
  other_stat AS 
  (SELECT
    COUNT(condition_start_date)                                                      AS co_start_date_count,
    MIN(condition_start_date)                                                        AS co_start_date_min,
    MAX(condition_start_date)                                                        AS co_start_date_max,
    DATEADD(DAY, AVG(CAST(DATEDIFF(DAY,DATEFROMPARTS(1,1,1),condition_start_date) AS BIGINT)), DATEFROMPARTS(1,1,1)) AS co_start_date_average,
    STDEV((DATEDIFF(DAY,DATEFROMPARTS(1,1,1),condition_start_date)))                                       AS co_start_date_stddev
   FROM cdm.condition_occurrence
   WHERE condition_start_date IS NOT NULL
  )

SELECT
  (SELECT 
    COUNT(condition_start_date) 
   FROM cdm.condition_occurrence 
   WHERE condition_start_date IS NULL
  ) AS co_start_date_null_count
, co_start_date_count
, co_start_date_min
, co_start_date_max
, co_start_date_average
, co_start_date_stddev
, co_start_date_25percentile
, co_start_date_median
, co_start_date_75percentile
FROM other_stat,
    (SELECT
      DATEADD(DAY, AVG(CAST(DATEDIFF(DAY,DATEFROMPARTS(1,1,1),condition_start_date) AS BIGINT)), DATEFROMPARTS(1,1,1)) AS co_start_date_25percentile
      FROM (
       SELECT condition_start_date, rownumAsc,(SELECT COUNT(*) FROM end_rank ) AS rowno 
         FROM end_rank 
           ) a_1
       WHERE ( rownumASc = CAST(rowno*0.25 AS int)   AND floor(rowno*25/100)  = rowno*25/100 ) 
          OR ( rownumASc = CAST(rowno*0.25 AS int)   AND floor(rowno*25/100) != rowno*25/100 )
          OR ( rownumASc = CAST(rowno*0.25 AS int)+1 AND floor(rowno*25/100) != rowno*25/100 )
     ) co_start_date_25percentile,
    (SELECT
      DATEADD(DAY, AVG(CAST(DATEDIFF(DAY,DATEFROMPARTS(1,1,1),condition_start_date) AS BIGINT)), DATEFROMPARTS(1,1,1)) AS co_start_date_median
      FROM (
       SELECT condition_start_date, rownumAsc,(SELECT COUNT(*) FROM end_rank ) AS rowno 
         FROM end_rank 
          ) a_1
       WHERE ( rownumASc = CAST(rowno*0.5 AS int)   AND floor(rowno*50/100)  = rowno*50/100 ) 
          OR ( rownumASc = CAST(rowno*0.5 AS int)   AND floor(rowno*50/100) != rowno*50/100 )
          OR ( rownumASc = CAST(rowno*0.5 AS int)+1 AND floor(rowno*50/100) != rowno*50/100 )
     ) co_start_date_median,
    (SELECT
      DATEADD(DAY, AVG(CAST(DATEDIFF(DAY, DATEFROMPARTS(1,1,1),condition_start_date) AS BIGINT)), DATEFROMPARTS(1,1,1)) AS co_start_date_75percentile
          FROM (
       SELECT condition_start_date, rownumAsc,(SELECT COUNT(*) FROM end_rank ) AS rowno 
         FROM end_rank 
         ) a_1
       WHERE ( rownumASc = CAST(rowno*0.75 AS int)   AND floor(rowno*75/100)  = rowno*75/100 ) 
          OR ( rownumASc = CAST(rowno*0.75 AS int)   AND floor(rowno*75/100) != rowno*75/100 )
          OR ( rownumASc = CAST(rowno*0.75 AS int)+1 AND floor(rowno*75/100) != rowno*75/100 )
     ) co_start_date_75percentile

;"
CO14 Counts of condition types,"SELECT condition_type_freq, condition_type_concept_id, concept_name
FROM (
    SELECT condition_type_concept_id, 
           count(*) AS condition_type_freq
    FROM cdm.condition_occurrence
    WHERE condition_concept_id = 372409
    GROUP BY condition_type_concept_id
    ) AS condition_type_count
LEFT JOIN (
    SELECT concept_id, 
           concept_name
    FROM cdm.concept
    ) AS type_concept 
    ON condition_type_count.condition_type_concept_id=type_concept.concept_id
ORDER BY condition_type_freq;"
CO15 Distribution of number of distinct conditions persons have,"WITH ranked AS 
  (SELECT
    num_of_conditions,
    row_number() over (ORDER BY num_of_conditions ASC) AS rownumasc
  FROM 
    (SELECT
      person_id,
      COUNT(DISTINCT condition_concept_id) AS num_of_conditions
     FROM cdm.condition_occurrence
     WHERE person_id!=0
     GROUP BY person_id
    ) AS counts_conditions_person_1
  ),
  other_stat AS 
  (SELECT
    COUNT(num_of_conditions)           AS condition_dist_num_count,
    MIN(num_of_conditions)             AS condition_dist_num_min,
    MAX(num_of_conditions)             AS condition_dist_num_max,
    ROUND(AVG(num_of_conditions), 2)   AS condition_dist_num_average,
    ROUND(STDEV(num_of_conditions), 2) AS condition_dist_num_stddev
   FROM 
    (SELECT
      person_id,
      COUNT(DISTINCT condition_concept_id) AS num_of_conditions
     FROM cdm.condition_occurrence
     WHERE person_id!=0
     GROUP BY person_id
    ) AS counts_conditions_person_2
  )
  
SELECT DISTINCT
  (SELECT 
    COUNT(DISTINCT person_id) 
   FROM cdm.condition_occurrence 
   WHERE condition_occurrence_id IS NULL
  ) AS condition_null_count,
  condition_dist_num_count,condition_dist_num_min,condition_dist_num_max,condition_dist_num_average,condition_dist_num_stddev
FROM
  other_stat,
  (SELECT 
    DISTINCT num_of_conditions AS condition_dist_num_25pctile
    FROM
      (SELECT num_of_conditions, rownumasc,(SELECT COUNT(*) FROM ranked) AS rowno FROM ranked) AS a_1
    WHERE    (rownumasc = CAST(rowno*0.25 AS INT)   AND floor(rowno*25/100)  = rowno*25/100 )
          OR (rownumasc = CAST(rowno*0.25 AS INT)   AND floor(rowno*25/100) != rowno*25/100 )
          OR (rownumasc = CAST(rowno*0.25 AS INT)+1 AND floor(rowno*25/100) != rowno*25/100 )
  ) condition_end_date_25pctile,
  (SELECT
    DISTINCT num_of_conditions AS condition_dist_num_median
   FROM
      (SELECT num_of_conditions, rownumasc,(SELECT COUNT(*) FROM ranked) AS rowno FROM ranked) AS a_2
   WHERE    (rownumasc = CAST(rowno*0.50 AS INT)   AND floor(rowno*50/100)  = rowno*50/100 )
         OR (rownumasc = CAST(rowno*0.50 AS INT)   AND floor(rowno*50/100) != rowno*50/100 )
         OR (rownumasc = CAST(rowno*0.50 AS INT)+1 AND floor(rowno*50/100) != rowno*50/100 )
  ) condition_end_date_median,
  (SELECT
    DISTINCT num_of_conditions AS condition_dist_num_75pctile
   FROM
      (SELECT num_of_conditions, rownumasc,(SELECT COUNT(*) FROM ranked) AS rowno FROM ranked) AS A_3
   WHERE    (rownumasc= CAST(rowno*0.75 AS INT)   AND floor(rowno*75/100)  = rowno*75/100 ) 
         OR (rownumasc= CAST(rowno*0.75 AS INT)   AND floor(rowno*75/100) != rowno*75/100 )
         OR (rownumasc= CAST(rowno*0.75 AS INT)+1 AND floor(rowno*75/100) != rowno*75/100 )
  ) condition_end_date_75pctile;"
CO16 Counts of number of distinct conditions persons have,"SELECT 
  COUNT(c.condition_concept_id) conditions_count, 
  c.person_id
FROM cdm.condition_occurrence c
WHERE condition_concept_id = 201820 -- Input condition_concept_id
GROUP BY c.person_id
ORDER BY 1 DESC;"
CO17 Distribution of condition occurrence records per person,"WITH person_conditions AS
         (SELECT person_id,
                 COUNT(*) AS num_of_conditions
          FROM cdm.condition_occurrence
          GROUP BY person_id
         ),
     ranked AS
         (SELECT num_of_conditions,
                 sum(1) OVER (PARTITION BY 1
                     ORDER BY num_of_conditions
                         ASC ROWS BETWEEN UNBOUNDED PRECEDING
                         AND CURRENT ROW
                     ) AS rownumasc
          FROM person_conditions
         ),
     other_stat AS
         (SELECT COUNT(num_of_conditions)           AS condition_num_count,
                 MIN(num_of_conditions)             AS condition_num_min,
                 MAX(num_of_conditions)             AS condition_num_max,
                 ROUND(AVG(num_of_conditions), 2)   AS condition_num_average,
                 ROUND(STDEV(num_of_conditions), 2) AS condition_num_stddev
          FROM person_conditions
         )
SELECT DISTINCT condition_num_count,
                condition_num_average,
                condition_num_stddev,
                condition_num_min,
                condition_num_25percentile,
                condition_num_median,
                condition_num_75percentile,
                condition_num_max
FROM other_stat,
     (SELECT num_of_conditions AS condition_num_25percentile
      FROM (SELECT num_of_conditions, rownumasc, (SELECT count(*) FROM ranked) AS rowno FROM ranked) AS all_1
      WHERE (rownumasc = CAST(rowno * 0.25 AS INT) AND floor(rowno * 25 / 100) = rowno * 25 / 100)
         OR (rownumasc = CAST(rowno * 0.25 AS INT) AND floor(rowno * 25 / 100) != rowno * 25 / 100)
         OR (rownumasc = CAST(rowno * 0.25 AS INT) + 1 AND floor(rowno * 25 / 100) != rowno * 25 / 100)
     ) condition_num_25percentile,
     (SELECT num_of_conditions AS condition_num_median
      FROM (SELECT num_of_conditions, rownumasc, (SELECT count(*) FROM ranked) AS rowno FROM ranked) AS all_2
      WHERE (rownumasc = CAST(rowno * 0.50 AS INT) AND floor(rowno * 50 / 100) = rowno * 50 / 100)
         OR (rownumasc = CAST(rowno * 0.50 AS INT) AND floor(rowno * 50 / 100) != rowno * 50 / 100)
         OR (rownumasc = CAST(rowno * 0.50 AS INT) + 1 AND floor(rowno * 50 / 100) != rowno * 50 / 100)
     ) condition_num_median,
     (SELECT num_of_conditions AS condition_num_75percentile
      FROM (SELECT num_of_conditions, rownumasc, (SELECT count(*) FROM ranked) AS rowno FROM ranked) AS all_3
      WHERE (rownumasc = cast(rowno * 0.75 AS INT) AND floor(rowno * 75 / 100) = rowno * 75 / 100)
         OR (rownumasc = cast(rowno * 0.75 AS INT) AND floor(rowno * 75 / 100) != rowno * 75 / 100)
         OR (rownumasc = cast(rowno * 0.75 AS INT) + 1 AND floor(rowno * 75 / 100) != rowno * 75 / 100)
     ) condition_num_75percentile;"
